genres,id,year,user_id,playtime_forever
RPG,301520,2017.0,cazzabro,26.0
RPG,301520,2017.0,doomkiller20911,18.0
RPG,301520,2017.0,potisrest0,3550.0
RPG,301520,2017.0,HoneyBeeGames,1274.0
RPG,301520,2017.0,kinghamc,0.0
RPG,301520,2017.0,76561198081765640,6324.0
RPG,301520,2017.0,LeuieCSGO,23.0
RPG,301520,2017.0,76561198060606113,0.0
RPG,301520,2017.0,Pregao07,20.0
RPG,301520,2017.0,popcornman812,5.0
RPG,301520,2017.0,phaxtioll,0.0
RPG,301520,2017.0,thepandabearnz1234,139.0
RPG,301520,2017.0,76561198169374360,1013.0
Free to Play,212800,2010.0,thedongsmasher,19.0
Free to Play,212800,2010.0,Flash52,16.0
Free to Play,212800,2010.0,76561198043720457,0.0
Action,291480,2014.0,76561198006986296,0.0
Action,291480,2014.0,76561198091250895,83.0
Action,291480,2014.0,frghergtdegftr,5.0
Action,291010,2016.0,killjoy149,2.0
Indie,269250,2014.0,76561198048229547,0.0
Indie,234190,2013.0,Daaannns,1.0
Adventure,311340,2014.0,LionBrito,441.0
Adventure,311340,2014.0,The-Moose,58.0
Adventure,249130,2013.0,76561198041228896,423.0
Casual,266150,2013.0,76561198076310095,12.0
Casual,304050,2015.0,76561198092268302,1039.0
Casual,304050,2015.0,76561198047779266,41.0
Casual,304050,2015.0,kyswithbleach,226.0
Casual,304050,2015.0,BlippX1,34.0
Indie,253510,2014.0,hexlaw,0.0
Casual,385770,2015.0,76561198054421576,18.0
RPG,340810,2015.0,Orifromtheforest,2.0
RPG,65600,2011.0,76561198044594262,649.0
Adventure,283880,2014.0,somaliakingman,0.0
RPG,371200,2016.0,HittingGuide45,0.0
Massively Multiplayer,212160,2012.0,76561198041505206,71.0
Massively Multiplayer,212160,2012.0,wyldcam,3.0
Massively Multiplayer,212160,2012.0,76561198018891332,103.0
Massively Multiplayer,247730,2014.0,Waldkier,623.0
Massively Multiplayer,247730,2014.0,76561198007521657,65.0
Massively Multiplayer,247730,2014.0,PUGSAREPRO,619.0
Strategy,449140,2016.0,se7en-pounds,152.0
Strategy,449140,2016.0,76561198072815531,6.0
Free to Play,356670,2015.0,The_Goosey,0.0
Action,258970,2014.0,Clarkos,273.0
Action,203290,2015.0,76561198088583840,19.0
Action,203290,2015.0,IGotItFormMyDADDY,0.0
Action,220900,2013.0,SickCuntt,0.0
RPG,328100,2014.0,Steamified,0.0
RPG,342980,2015.0,CocklesnCream,4.0
Indie,351490,2015.0,probablydead,123.0
