genres,year,playtime_forever
RPG,2017.0,26.0
RPG,2017.0,18.0
RPG,2017.0,3550.0
RPG,2017.0,1274.0
RPG,2017.0,0.0
RPG,2017.0,6324.0
RPG,2017.0,23.0
RPG,2017.0,0.0
RPG,2017.0,20.0
RPG,2017.0,5.0
RPG,2017.0,0.0
RPG,2017.0,139.0
RPG,2017.0,1013.0
Free to Play,2010.0,19.0
Free to Play,2010.0,16.0
Free to Play,2010.0,0.0
Action,2014.0,0.0
Action,2014.0,83.0
Action,2014.0,5.0
Action,2016.0,2.0
Indie,2014.0,0.0
Indie,2013.0,1.0
Adventure,2014.0,441.0
Adventure,2014.0,58.0
Adventure,2013.0,423.0
Casual,2013.0,12.0
Casual,2015.0,1039.0
Casual,2015.0,41.0
Casual,2015.0,226.0
Casual,2015.0,34.0
Indie,2014.0,0.0
Casual,2015.0,18.0
RPG,2015.0,2.0
RPG,2011.0,649.0
Adventure,2014.0,0.0
RPG,2016.0,0.0
Massively Multiplayer,2012.0,71.0
Massively Multiplayer,2012.0,3.0
Massively Multiplayer,2012.0,103.0
Massively Multiplayer,2014.0,623.0
Massively Multiplayer,2014.0,65.0
Massively Multiplayer,2014.0,619.0
Strategy,2016.0,152.0
Strategy,2016.0,6.0
Free to Play,2015.0,0.0
Action,2014.0,273.0
Action,2015.0,19.0
Action,2015.0,0.0
Action,2013.0,0.0
RPG,2014.0,0.0
RPG,2015.0,4.0
Indie,2015.0,123.0
Indie,2012.0,360.0
Indie,2012.0,250.0
Indie,2012.0,0.0
Indie,2012.0,62.0
Indie,2012.0,4702.0
Indie,2012.0,184.0
Action,2012.0,58.0
Action,2012.0,0.0
Casual,2012.0,0.0
Strategy,2013.0,16.0
Strategy,2013.0,233.0
Strategy,2013.0,126.0
RPG,2016.0,65.0
Free to Play,2015.0,53.0
Casual,2013.0,0.0
Action,2005.0,0.0
Action,2005.0,250.0
Indie,2011.0,0.0
Action,2013.0,59.0
RPG,2014.0,9.0
Casual,2012.0,4.0
Adventure,2008.0,76.0
Action,2004.0,0.0
Action,2004.0,732.0
Action,2004.0,725.0
Action,2004.0,0.0
Action,2004.0,1700.0
Action,2004.0,1516.0
Action,2004.0,0.0
Action,2004.0,1107.0
Action,2014.0,9.0
Strategy,2014.0,0.0
Casual,2014.0,246.0
Action,2015.0,2543.0
Indie,2015.0,26.0
Indie,2015.0,30.0
Strategy,2013.0,0.0
Strategy,2013.0,0.0
Adventure,2012.0,11.0
RPG,2012.0,58.0
RPG,2012.0,0.0
Indie,2016.0,691.0
Indie,2016.0,241.0
Indie,2016.0,0.0
Indie,2016.0,281.0
Adventure,2013.0,13.0
Adventure,2013.0,134.0
Adventure,2013.0,23783.0
Adventure,2013.0,429.0
Adventure,2013.0,19379.0
Adventure,2013.0,883.0
Adventure,2013.0,4030.0
Free to Play,2015.0,2.0
Adventure,1996.0,0.0
Free to Play,2015.0,0.0
Indie,2014.0,53.0
Casual,2011.0,0.0
Action,2016.0,191.0
Action,2015.0,0.0
Indie,2014.0,541.0
Simulation,2014.0,122.0
Simulation,2014.0,0.0
Strategy,2010.0,1577.0
RPG,2007.0,67.0
RPG,2007.0,334.0
RPG,2007.0,248.0
RPG,2007.0,0.0
RPG,2007.0,19.0
RPG,2007.0,0.0
RPG,2007.0,24.0
Indie,2016.0,39.0
Indie,2014.0,0.0
Massively Multiplayer,2015.0,0.0
Sports,2013.0,196.0
