genres,app_name,id,year
Simulation,Train Simulator: BR Class 423 ‘4VEP’ EMU Add-On,65256,2012.0
Indie,BattleRush,734580,2017.0
Strategy,Reverse Crawl,400660,2015.0
Adventure,Countless Rooms of Death,341380,2014.0
Indie,Tomato Jones 2,625940,2017.0
Indie,BASMENT DWELLERS,553040,2016.0
Action,Borderlands 2 Season Pass,218560,2012.0
Indie,Craft The World - Sisters in Arms,492680,2016.0
Early Access,Rogue Operatives Hide and Seek,393790,2016.0
Casual,Madu Maths,689400,2017.0
RPG,Robocraft,301520,2017.0
Adventure,Dinosaur Hunt - Dragon Hunter Expansion Pack,408102,2015.0
Free to Play,Super Crate Box,212800,2010.0
Simulation,Rocksmith® 2014 Edition – Remastered – Amon Amarth - “The Pursuit of Vikings”,637769,2017.0
Indie,FORM - Original Soundtrack + Digital Art Book,682980,2017.0
Casual,Rocksmith - Santana - Oye Como Va,222069,2013.0
Adventure,Middle-earth: Shadow of Mordor - Rising Storm Rune,313381,2014.0
Indie,Fantasy Grounds - Top-Down Tokens - Darkwoulfe's Token Pack Vol 1,450092,2016.0
Indie,Fantasy Grounds - Village Backdrop: Hard Bay (5E),706700,2017.0
Action,Injustice™ 2 - Fighter Pack 1,734281,2017.0
Adventure,Dark Cases: The Blood Ruby Collector's Edition,569150,2017.0
Indie,Vostok Inc.,656460,2017.0
Action,The Wizards Who Fell In A Hole,562680,2016.0
Early Access,Wrongworld,664750,2017.0
Strategy,"Warhammer 40,000: Dawn of War II - Retribution - Chaos Sorcerer Wargear DLC",56484,2011.0
Adventure,Tales of Escape - Sleepy Hollow VR,747040,2017.0
Action,Alien Run,485410,2016.0
RPG,sZone - Stalker Starter Kit,514450,2016.0
Strategy,Fantasy Grounds - Witchcraft (BRP),641030,2017.0
Indie,Best of Us,464380,2016.0
Indie,Chicken Invaders 3 - Easter Edition,378621,2015.0
Casual,Cosmic Pioneer,629380,2017.0
Casual,Dokuro,317840,2014.0
Adventure,Contrast,224460,2013.0
Free to Play,ERR - 001,559990,2016.0
Casual,Tooth and Tail - Official Soundtrack,698760,2017.0
Indie,Eternal Maze,652990,2017.0
Adventure,Rocketbirds: Hardboiled Chicken,215510,2012.0
Adventure,Gabriel Knight - Sins of the Fathers Demo,318170,2014.0
RPG,EverQuest II : Terrors of Thalumbra,420410,2015.0
Action,Warface - Chernobyl,717530,2017.0
Indie,Snakes - N - Ladders : Origins - Episode 1,552940,2017.0
Action,Street Fighter X Tekken: SF Booster Pack 7,210087,2013.0
Indie,White Day - Christmas Costume - Dal-Su Son,762340,2017.0
Sports,Pixel Puzzles Ultimate - Puzzle Pack: Wales,553071,2016.0
Design &amp; Illustration,Axis Game Factory's AGFPRO Zombie FPS Player DLC,270940,2014.0
Strategy,Mini Thief,481870,2016.0
Action,Warface,291480,2014.0
Racing,CrazyCar,652230,2017.0
Casual,Counter-Strike Nexon: Zombies - Rivals DLC,429450,2015.0
Strategy,Just Deserts - Sleepwear Costume Set,517291,2016.0
Action,The Hat Man: Shadow Ward,291010,2016.0
Action,Call of Duty®: Advanced Warfare - Lightning Premium Personalization Pack,331065,2015.0
Indie,Pixel Russia Streets,638690,2017.0
Indie,Maze Up!,728670,2017.0
Indie,Strawberry Vinegar Original Soundtrack,432510,2016.0
Sports,Soccer Simulation,719970,2017.0
Simulation,Air Missions: HAVOC,549970,2016.0
Casual,Hero of the Kingdom II,346560,2015.0
Indie,Fantasy Grounds - Sundered Skies: Festival of Madness (Savage Worlds),548690,2016.0
Indie,Retro Space Shooter,735840,2017.0
Casual,The Secret of Tremendous Corporation: DLC,384171,2015.0
Simulation,Economic Conquest,576320,2017.0
Adventure,Never Alone (Kisima Ingitchuna),295790,2014.0
Simulation,Rocksmith - Rush - Tom Sawyer,206178,2012.0
Sports,Pixel Puzzles Ultimate - Puzzle Pack: Santa,565323,2016.0
Action,Botlike - a robot's rampage - S.I.R. 9000 skin,714710,2017.0
RPG,S.T.A.L.K.E.R.: Clear Sky,20510,2008.0
Action,Polychromatic,384590,2015.0
Simulation,Rocksmith® 2014 – Bob Dylan - “Subterranean Homesick Blues”,271477,2014.0
Action,Void Raiders,445600,2016.0
Adventure,DROD: The Second Sky OST + Graphics Pack,415070,2016.0
Indie,Dominique Pamplemousse: Soundtrack & Sheet Music,285550,2014.0
Free to Play,Premium Bundle,463902,2016.0
Casual,Memory Oblivion Box - Original Soundtrack,500850,2016.0
Casual,Cubic complex,500100,2017.0
Strategy,Lew Pulsipher's Doomstar,504750,2016.0
Indie,WORLD END ECONOMiCA episode.01,269250,2014.0
Strategy,The Escapists - Escape Team,376700,2015.0
Action,Bumper,509850,2016.0
RPG,CrossCode,368340,2015.0
Racing,MotoGP™14 Compact,321490,2014.0
RPG,Anima Gate of Memories,380750,2016.0
Casual,Classic Remix World,505450,2016.0
RPG,Skara - The Blade Remains,274620,2017.0
Indie,Cloney,400030,2014.0
Indie,Age of Fear: The World Map,677250,2017.0
Indie,Forever Home Soundtrack,749190,2017.0
RPG,Bret Airborne,342510,2013.0
Casual,Mini Z Racers Turbo,508930,2016.0
Action,And So It Was,432590,2016.0
Casual,Sinister City,326180,2014.0
Casual,Shephy,651340,2017.0
Adventure,War of the Human Tanks - Limited Operations,301930,2016.0
Simulation,Stronghold HD,40950,2001.0
Indie,BattleRush - US Special Forces DLC,750491,2017.0
Indie,Anomaly: Warzone Earth,91200,2011.0
Casual,Box Maze - Everyday People Skins Pack,562790,2016.0
Free to Play,K'NOSSOS,696770,2019.0
Strategy,Fantasy Grounds - When the Ship Goes Down (PFRPG),482720,2016.0
Casual,Rocksmith® 2014 – Slash featuring Myles Kennedy and The Conspirators - “You’re a Lie”,294921,2014.0
Indie,Pixel Puzzles Ultimate - Puzzle Pack: Reptile,535720,2016.0
Simulation,Zombie Town,666600,2017.0
Indie,Watch Me Jump,698770,2018.0
Strategy,Making History: The Great War,279140,2015.0
Indie,Castle Explorer - The Dark Below,694380,2017.0
Casual,Wanderland: Warrior Pack,700700,2017.0
Racing,Radio Controlled Cars mode,464300,2016.0
Indie,Adjacency OST,636380,2017.0
Indie,Creekside Creep Invasion,551060,2017.0
Casual,Tales of the Tiny Planet,616040,2017.0
Casual,Rocksmith® 2014 – Bush - “Glycerine”,342807,2015.0
Simulation,Super Thunder Blade™,34314,2010.0
Casual,BAE 2,769330,2018.0
Indie,Receiver,234190,2013.0
Strategy,Battle Brothers - Soundtrack,365380,2017.0
Casual,Rocksmith® 2014 – Chevelle - “The Red”,436627,2016.0
Indie,Fantasy Grounds - The Last Parsec: Eris Beta-V (Savage Worlds),604310,2017.0
Adventure,Sky Trader,579560,2017.0
Racing,GRID 2 - Peak Performance Pack,221166,2013.0
Adventure,METAL GEAR SOLID V: GROUND ZEROES,311340,2014.0
Indie,The Red Solstice Soundtrack,403910,2015.0
Strategy,Talisman - The Harbinger Expansion,707670,2017.0
Adventure,Broken Sword 5: Soundtrack,565830,2017.0
Indie,Hive - The Mosquito,258852,2014.0
Adventure,Oddworld: New 'n' Tasty,314660,2015.0
Adventure,Boss 101,380920,2017.0
Indie,Sunken,405960,2015.0
Adventure,Wanderland: Collector Pack,700680,2017.0
Adventure,Root Letter - Artbook,579650,2017.0
Indie,d20 Modern SRD Ruleset,347100,2015.0
Adventure,Dishonored: Dunwall City Trials,208570,2012.0
Strategy,Stellaris,281990,2016.0
Indie,Eidolon,286140,2014.0
Strategy,Fantasy Grounds - Pathfinder RPG - Mummy's Mask  AP 3: Shifting Sands (PFRPG),754290,2017.0
RPG,Fantasy Grounds - B03: It All Falls Down (5E),576250,2017.0
Action,Clan of Champions - Gem Pack 1,215317,2012.0
Web Publishing,RPG Maker MV - Heaven and Earth Music Pack,653726,2017.0
Indie,Overcast - Walden and the Werewolf,293180,2014.0
Sports,Snowman,586090,2017.0
Indie,Epic Manager - Create Your Own Adventuring Agency!,391280,2016.0
Simulation,The Hunt,437210,2017.0
Free to Play,RIFT Starter Pack,602450,2017.0
Action,Snake 3D Adventures,572240,2017.0
Indie,Among the Sleep - Enhanced Edition,250620,2017.0
Casual,Upside Down,586960,2017.0
Simulation,Wings of Luftwaffe Add-on,45302,2010.0
Adventure,LEGO® Marvel™ Super Heroes,249130,2013.0
Early Access,Keyboard Engine,724070,2017.0
Indie,Magicmaker - Soundtrack,349370,2015.0
Racing,GRID 2 - Demolition Derby Pack,221169,2013.0
Adventure,Hoggy 2,617270,2017.0
Action,DW8XLCE - NEW STAGE & ANIMAL PACK,316866,2014.0
Simulation,X-Plane 10 AddOn - Carenado - M20J 201,325144,2014.0
Casual,Rotatorix,716130,2017.0
Indie,Rozkol,628520,2016.0
Action,Overcast - Walden and the Werewolf,293180,2014.0
Action,LEGO® Marvel Super Heroes 2 - Guardians of the Galaxy Vol. 2,720800,2017.0
Action,Alien Splatter Redux,673300,2017.0
Action,Rodina Soundtrack,316360,2014.0
Action,Military Airfield - Donation DLC,602210,2017.0
Strategy,Son Korsan,645830,2017.0
Casual,Lost Saga NA,266150,2013.0
RPG,Shattered God - Quest for the Divine Relic,661110,2017.0
Indie,CrazyCars3D,454180,2016.0
Early Access,Hover Cubes: Arena,396700,2016.0
Action,Yargis - Space Melee,369040,2015.0
Indie,Escape From BioStation,391650,2017.0
