user_id,posted,item_id,recommend,sentiment_analysis
RegularSmokeyJoe,"Posted September 9, 2014.",48700,True,1
76561198044711473,Posted May 14.,379720,True,1
TheAntiPixel,Posted April 7.,413150,True,2
76561198091344363,"Posted February 24, 2014.",440,True,2
76561198132083512,"Posted July 4, 2014.",440,True,2
1jamesn4,"Posted February 7, 2014.",8870,True,2
76561198067124717,"Posted January 27, 2014.",8930,True,1
76561198071755562,"Posted November 21, 2015.",397680,False,0
night0fdarknes5,"Posted March 27, 2014.",570,False,1
p893629682,"Posted August 17, 2013.",230410,True,2
76561198094437585,"Posted January 19, 2014.",570,True,2
loseitintheend,"Posted January 1, 2015.",313340,True,2
76561198069271631,"Posted March 26, 2015.",300550,True,2
trolllollollol,"Posted January 5, 2014.",224260,True,2
76561198076068709,"Posted August 15, 2015.",24740,True,2
hanbollo,Posted January 27.,336510,False,1
koshara,"Posted October 1, 2014.",420,True,0
plutopass,"Posted October 25, 2015.",391540,True,1
76561198079218581,Posted March 18.,34900,True,1
eraqkiwi,"Posted April 3, 2014.",202970,True,2
76561198052831153,"Posted November 21, 2014.",242760,True,1
Namey5,"Posted August 18, 2014.",9480,True,2
76561197995418864,Posted March 29.,397340,True,2
gametsf,Posted March 19.,257400,True,2
76561198062880848,"Posted June 14, 2014.",242760,True,1
HYGLAWRENCE,"Posted February 20, 2014.",250600,True,1
edgar_its_the_popo,"Posted August 22, 2015.",232090,True,2
76561198058192790,"Posted July 16, 2014.",730,True,1
76561198042471841,"Posted February 15, 2014.",570,True,2
charlesy2,"Posted September 10, 2014.",730,True,2
76561198057056954,Posted August 8.,109600,False,2
76561198129346289,"Posted November 21, 2014.",400,True,1
BEKAST,"Posted September 25, 2015.",730,True,2
AroraITServices,"Posted February 11, 2014.",218230,True,2
Ami_Ajimu,"Posted September 21, 2014.",440,True,2
frisasky,"Posted March 2, 2013.",227100,True,1
76561198070796900,"Posted September 18, 2015.",387860,True,1
braydenb9,"Posted March 21, 2015.",340,True,1
76561198101223348,"Posted February 7, 2014.",440,True,2
76561198068069208,"Posted December 26, 2013.",440,True,1
Norf_Norf,"Posted June 1, 2014.",211820,False,1
Hidden_Hood,"Posted June 22, 2014.",220240,True,2
thetoffee,"Posted July 21, 2013.",207610,True,2
Bigodyddasa,"Posted January 14, 2014.",620,True,2
76561198065002141,"Posted April 12, 2014.",218230,True,2
76561198033432863,"Posted December 28, 2015.",253250,True,2
pdiddymohouze,"Posted November 30, 2015.",232010,False,2
76561198083857294,"Posted July 24, 2013.",240,True,2
1011001,"Posted October 28, 2014.",440,True,1
76561197976763710,Posted August 19.,570,True,1
JyizerHD,"Posted July 17, 2014.",304930,True,1
moutopher,"Posted November 17, 2015.",201830,False,0
76561198091537009,"Posted October 18, 2013.",440,True,1
76561198046045640,"Posted June 4, 2014.",57690,True,2
genzzii,Posted September 4.,373770,True,1
deltalink21,Posted May 25.,373770,True,2
NoosphereAndTheZone,"Posted April 23, 2015.",440,True,1
ngamerftw,"Posted November 18, 2014.",252490,True,1
76561198095238263,"Posted February 22, 2014.",730,True,1
p100pCeM,"Posted January 20, 2015.",214970,False,1
Atl4s_DCE,Posted January 6.,730,True,1
cytress,"Posted December 21, 2013.",91310,True,2
getamagoz,"Posted June 7, 2014.",265630,True,1
76561198190487725,Posted April 10.,252490,True,2
76561198081845576,"Posted September 5, 2015.",333930,False,1
76561198089541911,"Posted January 15, 2015.",113200,True,2
fieryclockwork,"Posted February 14, 2014.",236510,False,1
76561198115750015,"Posted October 8, 2015.",10680,True,1
76561198132273399,"Posted July 27, 2014.",440,True,2
Aduialphen,"Posted July 6, 2014.",48190,True,2
drunkchef,"Posted April 18, 2015.",440,True,1
miraco12,"Posted December 24, 2015.",730,True,1
MungySpap,"Posted April 14, 2014.",243870,True,2
76561198058230663,"Posted May 12, 2014.",263320,True,2
toinhoto,"Posted August 28, 2014.",730,True,1
xoeairrr,"Posted July 5, 2015.",8190,True,1
ByanVEVO,"Posted June 19, 2014.",12210,True,1
NATETHEGOD,"Posted December 5, 2015.",225540,True,2
raider2knight,"Posted March 29, 2014.",63380,True,2
1234567890192837465,"Posted June 27, 2014.",11020,True,2
averageperson,"Posted March 14, 2015.",440,True,1
76561198061021230,"Posted September 6, 2014.",233250,False,2
NTMYZ,"Posted September 11, 2014.",440,True,1
76561198045536474,"Posted December 22, 2014.",321830,True,2
StrayDog8797,Posted February 10.,9450,True,2
nomopro,"Posted January 6, 2015.",730,True,2
Animax117,"Posted December 7, 2013.",211820,True,2
76561198069411847,"Posted December 10, 2014.",230410,True,2
76561198071234254,"Posted June 8, 2013.",440,True,2
76561198032421615,"Posted November 25, 2015.",218620,True,2
76561198079880943,"Posted September 23, 2015.",306460,True,2
jacko_lewie,"Posted April 13, 2014.",212680,True,2
mrljcm,"Posted June 30, 2014.",620,True,2
booza473,"Posted February 18, 2014.",440,True,1
worldshader,"Posted January 31, 2014.",211820,False,2
y7h8o,"Posted January 11, 2014.",239030,True,2
76561198076721590,"Posted November 22, 2015.",417860,True,2
